"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Ministério da Fazenda";"Distribuição de Renda";"Esta base contém a distribuição da renda apurada pelos contribuintes em um determinado exercício, tendo por fonte as declarações de imposto de renda da pessoa física. As informações são agrupadas por centis e são apresentadas em nível nacional e por unidade da federação.";"Carga Tributária,Dados agregados de contribuintes,Distribuição de renda,Imposto de Renda da Pessoa Física,RFB,Receita Federal";"6";"0";"5687";"19"
"Ministério da Fazenda";"Dividendos Arrecadados pela União";"Este conjunto de dados contém a listagem de todos as receitas arrecadadas pela União a título de dividendos e juros sobre o capital próprio e registrados no sistema SIAFI. Tais recebimentos representam os rendimentos das participações societárias da União pagos no exercício (regime de caixa).";"Dividendos,Haveres Federais,JCP,JSCP,Juros Sobre Capital Próprio";"2";"0";"25";"3"
"Ministério da Fazenda";"Dotação Orçamentária e Crédito Empenhado da Dívida Pública Federal por Fonte de Recursos";"Dotação Orçamentária Inicial, conforme o disposto na Lei Orçamentária Anual, Dotação Atualizada por suplementações e remanejamentos, Crédito Empenhado e Liquidado da Dívida Pública Federal detalhados por Fonte de Recursos.";"DPF,Dívida Pública Federal,Execução,Fonte de Recursos,Orçamento";"2";"0";"14";"0"
"Ministério da Fazenda";"Dívida Consolidada dos Estados e do Distrito Federal";"Este conjunto de dados contém o valor da dívida consolidada dos Estados e do Distrito Federal, apurada utilizando dados divulgados pelos entes, podendo sofrer ajustes pelo Tesouro Nacional de forma a enquadrá-la nas regras estabelecidas no MDF/MCASP.
";"Ajuste Fiscal de Estados DF e Municípios,Ajuste Fiscal de Estados e Municipios,Estados e Municipios,Estados e Municípios";"2";"0";"32";"0"
"Ministério da Fazenda";"Dívida consolidada líquida dos estados e do DF, de 2000 a 2014";"Dívida consolidada líquida (DCL), receita corrente líquida (RCL) e relação DCL/RCL de estados e DF para o período 2000 a 2014, conforme declarado pelos entes da Federação no âmbito da publicação do Relatório de Gestão Fiscal (RGF), em cumprimento da Lei da Responsabilidade Fiscal (LRF).

Os dados são provenientes do sistema SISTN, o qual foi descontinuado pela Caixa Econômica Federal. Atualmente as informações são administradas pela CCONF/STN. O tabulamento dos dados foi feito de forma manual pela COPEM/STN ao longo dos anos. Os dados não contemplam eventuais retificações realizadas pelos entes da Federação.

Segue explicação dos conceitos das variáveis apresentadas.

## Dívida Consolidada Líquida (DCL)

De acordo com o Manual de Demonstrativos Fiscais (MDF) da STN, a DCL representa o montante da Dívida Consolidada (DC) deduzido o saldo relativo aos haveres financeiros (disponibilidade de caixa e demais haveres financeiros). Caso o valor dos haveres financeiros seja inferior aos Restos a Pagar processados (exceto precatórios), não haverá deduções na DC, e logo a Dívida Consolidada Líquida(DCL) será igual à Dívida Consolidada. 

Por sua vez, a Dívida Consolidada (DC) ou fundada, para fins fiscais, corresponde ao montante total  das  obrigações financeiras, apurado sem duplicidade (excluídas as obrigações entre órgãos da administração direta e entre estes e as entidades da administração indireta), assumidas:

* pela realização de operações de crédito com a emissão de títulos públicos, para amortização em prazo superior a 12 (doze) meses (dívida mobiliária);

* pela realização de operações de crédito em virtude de leis, contratos (dívida contratual), convênios ou tratados, para amortização em prazo superior a 12 (doze) meses;

* com os precatórios judiciais emitidos a partir de 5 de maio de 2000 e não pagos durante a execução do orçamento em que houverem sido incluídos;

* pela realização de operações de crédito de prazo inferior a 12 (doze) meses, que tenham constado como receitas no orçamento.

## Receita Corrente Líquida (RCL)

De acordo com o MDF da STN, a RCL é o somatório das receitas tributárias, de contribuições, patrimoniais, agropecuárias, industriais, de serviços, transferências correntes e outras receitas correntes do ente da Federação, deduzidos alguns itens exaustivamente explicitados pela própria LRF, não cabendo interpretações que extrapolem os dispositivos legais.

Conforme a LRF, em seu art. 2º, inciso IV:
> IV - receita corrente líquida: somatório das receitas tributárias, de contribuições, patrimoniais, industriais, agropecuárias, de serviços, transferências correntes e outras receitas também correntes, deduzidos:
> a) na União, os valores transferidos aos Estados e Municípios por determinação constitucional ou legal, e as contribuições mencionadas na alínea a do inciso I e no inciso II do art. 195, e no art. 239 da Constituição;
> b) nos Estados, as parcelas entregues aos Municípios por determinação constitucional;
> c) na União, nos Estados e nos Municípios, a contribuição dos servidores para o custeio do seu sistema de previdência e assistência social e as receitas provenientes da compensação financeira citada no § 9º do art. 201 da Constituição.

## Relação DCL/RCL

Os limites percentuais da relação DCL/RCL dos Estados, do Distrito Federal e dos Municípios estão previstos na Resolução do Senado Federal nº 40, de 20/12/2001, e são os seguintes:

* no caso dos Estados e do Distrito Federal:  < 2,0

* no caso dos Municípios: < 1,2";"Ajuste Fiscal de Estados,Indicadores Fiscais e de Endividamento,LRF,Limites de Endividamento";"4";"0";"75";"1"
"Ministério da Fazenda";"Emendas Parlamentares Individuais e de bancada";"Para fins de cálculo da receita corrente líquida por parte dos entes conforme estabelecido no § 16 do art. 166 da Constituição Federal, são disponibilizados os demonstrativos das Emendas Parlamentares Individuais e de Bancada em nossa página na internet (https://www.gov.br/tesouronacional/pt-br/estados-e-municipios/transferencias-a-estados-e-municipios/transferencias-constitucionais-e-legais, item 7 - Emendas Parlamentares Individuais e de Bancada). Esta série de dados abertos foi criada para divulgar de forma mais detalhada as informações referentes às emendas parlamentares individuais e de bancada.";"Bancada,Emendas Parlamentares,Estados,Estados e Municípios,Individuais,Municípios";"2";"0";"396";"1"
"Ministério da Fazenda";"Emissões Diretas de Títulos da Dívida Pública Mobiliária Federal interna - DPMFi";"Este conjunto de dados contém o histórico dos valores de emissões diretas de títulos públicos, decorrentes de programas de governo ou de operações estruturadas, a partir de janeiro de 2007.";"BASA,BB,BNDES,Banco Central,CAIXA,CDE,Concessão de Crédito,DPMFi,Dívida Pública Federal,Emissões Diretas,FCVS,FIES,PROEX,PROIES,Resultado Negativo,Títulos Públicos";"3";"0";"51";"0"
"Ministério da Fazenda";"Emissões Soberanas da Dívida Pública Federal Externa";"Conjunto de dados contém a listagem de todos os títulos externos emitidos pelo Tesouro Nacional desde 1995 e suas características. Os títulos são emitidos em dólares, euros ou reais (ambos com fluxos de recebimento e pagamento em dólares), usualmente com data de vencimento de 10 e 30 anos. ";"Bonds,Dívida Externa,Dívida Pública Federal,Dólar,Euro,Finanças,Global,Sistema Financeiro,Títulos";"2";"0";"36";"0"
"Ministério da Fazenda";"Emissões e Resgates - Dívida Pública Federal";"Este conjunto de dados apresenta as emissões e resgates de dívida pública realizados no mercado primário, onde o investidor adquire o título diretamente do emissor. No âmbito da Dívida Mobiliária Federal é representado pelas operações realizadas pela Secretaria do Tesouro Nacional com os investidores.
";"Dívida Pública Federal,Emissão Direta,Finanças,Leilão,Pagamentos e Resgates Antecipados,Resgate de Títulos";"2";"0";"38";"0"
"Ministério da Fazenda";"Empresas Habilitadas em Regimes Tributários e Aduaneiros Especiais";"Empresas habilitadas em programas ou regimes tributários e aduaneiros especiais junto à Receita Federal, que conferem redução, suspensão, isenção ou outros benefícios fiscais.";"Benefício Fiscal,RFB,Receita Federal,Renúncia Fiscal";"2";"0";"2568";"11"
"Ministério da Fazenda";"Entidades Imunes e Isentas de Tributos Federais";"Entidades declaradas imunes ou isentas de tributos federais em Escrituração Contábil Fiscal (ECF).";"Benefício Fiscal,Receita Federal,Renúncia Fiscal";"9";"0";"1275";"3"
"Ministério da Fazenda";"Espaço Fiscal dos Estados e do Distrito Federal";"Este conjunto de dados contém o acréscimo de Espaço Fiscal dado a cada ano para os Estados e o Distrito Federal. Entende-se como Espaço Fiscal o valor limite que cada ente tem para inclusão de dívidas no Programa de Reestruturação e de Ajuste Fiscal (PAF). Tal Espaço representa um valor máximo para a contratação de quaisquer operações de crédito desejadas pelo ente, desde que observados os demais limites e condições previstos na legislação. ";"Ajuste Fiscal de Estados DF e Municípios,Estados,Estados e Municipios,Estados e Municípios";"2";"0";"12";"0"
"Ministério da Fazenda";"Estatísticas de declarações de importação";"Dados agregados de declarações de importação registradas no Siscomex Importação por pessoas físicas e jurídicas, agrupados por NCM, NVE e país de origem. Informações oriundas da base de dados da Receita Federal do Brasil.";"Comércio exterior,Importação,RFB,Receita Federal";"61";"0";"13731";"35"
"Ministério da Fazenda";"Estoque da Dívida Pública Federal";"Este conjunto de dados contém as informações do estoque da DPF no fechamento de cada mês. ";"Contratos e Banco Central,Dívida Pública Federal,Finanças,Título";"3";"0";"172";"0"
"Ministério da Fazenda";"Estoque da Dívida de Estados e do Distrito Federal";"Este conjunto de dados abrange o estoque da dívida dos Governos estaduais e DF, segregado por administração direta e administração indireta custeada pelo Tesouro estadual.";"Ajuste Fiscal,Ajuste Fiscal de Estados,Ajuste Fiscal de Estados DF e Municípios,DF e Municípios,Estados e Municípios,Informações Estatísticas,Programa de Reestruturação";"2";"0";"76";"0"
"Ministério da Fazenda";"Estoque do Tesouro Direto";"Esse conjunto de dados mostra o volume total de recursos aplicados ao Tesouro Direto. A metodologia de cálculo dessa estatística é a mesma usada para cálculo do estoque de toda a Dívida Pública Federal, na qual os juros são acumulados de acordo com a taxa de emissão de cada título. Assim, esse estoque não é valorado pelos preços de mercado dos títulos.";"Investidores,Investimento,Tesouro Direto,Tesouro IGPM,Tesouro IPCA,Tesouro IPCA com Juros Semestrais,Tesouro Prefixado,Tesouro Prefixado com Juros Semestrais,Tesouro Selic";"2";"0";"229";"0"
"Ministério da Fazenda";"Execução Orçamentária dos Estados e do Distrito Federal - PAF";"Este conjunto de dados contém as rubricas fiscais dos Estados e Distrito Federal utilizadas para análise no Programa de Reestruturação e de Ajuste Fiscal (PAF).";"Ajuste Fiscal de Estados DF e Municípios,Ajuste Fiscal de Estados e Municipios,Estados e Municipios,Estados e Municípios";"2";"0";"50";"0"
"Ministério da Fazenda";"Execução Orçamentária e Financeira da Dívida Pública Federal por Fonte de Recursos";"Este conjunto de dados contém o saldo atual da execução orçamentária e financeira da Dívida Pública Federal, para o exercício indicado, por Fonte de Recursos.";"Despesas,Dívida Pública,Dívida Pública Federal,Execução Orçamentária e Financeira,Finanças,Fonte de Recursos";"2";"0";"19";"1"
"Ministério da Fazenda";"Execução Orçamentária e Financeira da Dívida Pública Federal por Natureza da Despesa";"Este conjunto de dados contém da movimentação líquida da execução orçamentária e financeira da Dívida Pública Federal, por Natureza da Despesa, discriminada por exercício e mês de lançamento.";"DPF,Despesas,Dívida Pública,Dívida Pública Federal,Execução Financeira,Finanças,Orçamentária,Receita";"2";"0";"66";"1"
"Ministério da Fazenda";"Extrato de Entregas dos Entes da Federação";"Extrato de todos os relatórios homologados e retificados no Siconfi e de todas as matrizes entregues.";"DCA,Estados e Municípios,MSC,RGF,RREO,Siconfi,União";"2";"0";"60";"0"
"Ministério da Fazenda";"Fatores de Variação da Dívida Pública Federal";"Este conjunto de dados contém as informações da variação de estoque da DPF entre dois meses e as variáveis responsáveis por essa variação. ";"Contratos e Banco Central,Dívida Pública Federal,Fatores de Variação,Finanças,Títulos";"2";"0";"44";"0"
"Ministério da Fazenda";"Fundo Soberano do Brasil";"Este conjunto de dados traz a série histórica do Patrimônio Líquido do Fundo Soberano do Brasil (FSB), que foi um fundo público vinculado ao Ministério da Fazenda, criado pela Lei nº 11.887, de 24 de dezembro de 2008, e extinto pela Lei nº 13.874, de 20 de setembro de 2019.

Como o fundo foi extinto, não haverá atualização futura destes dados.

Para mais informações sobre o FSB, acesse https://www.gov.br/tesouronacional/pt-br/ativos-da-uniao/fundos-governamentais/fundo-soberano-do-brasil-fsb.";"Ativos da União,FSB,Fundo Soberano do Brasil,Haveres Federais,Patrimônio Líquido";"2";"0";"25";"0"
"Ministério da Fazenda";"Garantias Concedidas em Operações de Crédito Externas";"Conjunto de dados contém as informações das garantias concedidas , relativas às operações externas firmados por Estados, Municípios, Distrito Federal, entidades controladas e estatais federais, que contem com a Garantia da União.";"Concessão de Garantias,Contratos,Credor,Distrito Federal,Dívida Pública Federal,Entidades Controladas,Estados,Estatais Federais,Financiador,Financiamentos,Garantia,Garantia Externa,Garantias da União,Municípios,Mutuários,Operações de Crédito,Projetos";"3";"0";"14";"1"
"Ministério da Fazenda";"Garantias Concedidas em Operações de Crédito Internas";"Conjunto de dados contém as informações das garantias concedidas , relativas às operações internas firmados por Estados, Municípios, Distrito Federal, entidades controladas e estatais federais, que contem com a Garantia da União.";"Ajueste Fiscal de Estados e Municípios,Concessão de Garantias,Contratos,Credor,Distrito Federal,Divida Pública Federal,Entidades Controladas,Estatais Federais,Financiador,Financiamento de Projetos,Financiamentos,Garantia,Garantias da União,Municípios,Mutuários,Operações de Crédito";"3";"0";"17";"0"
"Ministério da Fazenda";"Grandes Números do Imposto de Renda da Pessoa Física";"Este conjunto de dados contém as informações agregadas das declarações de Imposto de Renda da Pessoa Física de todos os contribuintes que a encaminharam em um determinado ano-calendário. Cada uma das tabelas contém informações referentes a diferentes variáveis que permitem análises em variados cortes sociais e econômicos.";"RFB,Receita Federal,Rendimentos,agregado,agregado dos rendimentos ,isentos,não tributáveis,salários-mínimos";"46";"0";"31216";"125"
"Ministério da Fazenda";"Informações Orçamentárias da Matriz de Saldos Contábeis (MSC) dos Entes da Federação";"Engloba o balancete mensal das contas de natureza orçamentária, classes 5 e 6 conforme PCASP. Os dados, além das contas contábeis são detalhados por informações complementares onde: PO - codificação de poder ou órgão, FR - fontes/destinação de recursos, FF - função da despesa, SF - subfunção, ES - atributo educação saúde, ND - natureza da despesa, NR - natureza da receita, AI - ano de inscrição de restos à pagar.";"BSPN,Contabilidade Pública,Estados e Municípios,LRF,MSC,Matris de Saldos Contábeis,Siconfi,União";"2";"0";"109";"0"
"Ministério da Fazenda";"Informações Patrimoniais da Matriz de Saldos Contábeis (MSC) dos Entes da Federação";"Engloba o balancete mensal das contas de natureza patrimonial, classes 1,2,3 e 4 conforme PCASP. Os dados, além das contas contábeis são detalhados por informações complementares onde: PO - codificação de poder ou órgão, FP - atributo financeiro/permanente, FR - fontes/destinação de recursos, DC - atributo dívida consolidada.";"BSPN,Contabilidade Pública,Estados e Municípios,LRF,MSC,Matriz de Saldos Contábeis,Siconfi,União";"2";"0";"50";"0"
"Ministério da Fazenda";"Informações de Controle da Matriz de Saldos Contábeis (MSC) dos Entes da Federação";"Engloba o balancete mensal das contas de natureza orçamentária, classes 7 e 8 conforme PCASP. Os dados, além das contas contábeis são detalhados por informações complementares onde: PO - codificação de poder ou órgão, FR - fontes/destinação de recursos, FF - função da despesa, SF - subfunção, ES - atributo educação saúde, ND - natureza da despesa, AI - ano de inscrição de restos à pagar.";"BSPN,Contabilidade Pública,Estados e Municípios,LRF,MSC,Matriz de Saldos Contábeis,Siconfi,União";"2";"0";"22";"0"
"Ministério da Fazenda";"Investidores do Tesouro Direto";"Este conjunto de dados contém a lista de investidores cadastrados no programa Tesouro Direto. A listagem inclui dados do perfil do investidor como data de adesão, profissão, cidade de residência e estado civil, dentre outros. Há também informação se o investidor está ativo ou não, o que significa que ele ainda opera no programa, assim como existe um indicador se ele operou nos últimos 12 meses. Os investidores são identificados por um código único. Quando um investidor possui cadastro em mais de uma instituição financeira, esse outro cadastro é registrado em uma nova linha com o mesmo código de investidor.";"Investidores,Investimento,Tesouro Direto";"20";"0";"624";"1"
"Ministério da Fazenda";"Investimentos Públicos";"Corresponde ao pagamento total (despesas do exercício pagas e restos a pagar pagos) dos grupos de natureza de despesa 4 (investimentos) e 5 (inversões financeiras), exceto as despesas financeiras, que compõem o Orçamento Fiscal e da Seguridade Social. 
Investimentos são despesas orçamentárias com softwares e com o planejamento e a execução de obras, inclusive com a aquisição de imóveis considerados necessários à realização destas últimas, e com a aquisição de instalações, equipamentos e material permanente.
Inversões financeiras são despesas orçamentárias com a aquisição de imóveis ou bens de capital já em utilização; aquisição de títulos representativos do capital de empresas ou entidades de qualquer espécie, já constituídas, 
quando a operação não importe aumento do capital; e com a constituição ou aumento do capital de empresas, além de outras despesas classificáveis neste grupo.
Os dados são obtidos a partir de consultas junto ao Sistema Integrado de Administração Financeira do Governo Federal – SIAFI.";"Investimento,Investimento Federal,Investimento Público,Investimento da União,Investimento do Governo Federal";"13";"0";"274";"1"
"Ministério da Fazenda";"Limites da LRF para a União: Contratação de Operações de Crédito";"Séries históricas quadrimestrais dos valores referentes aos limites da LRF para Contratação de Operações de Crédito.

O artigo de abertura da [Lei de Responsabilidade Fiscal](http://www.planalto.gov.br/ccivil_03/leis/LCP/Lcp101.htm), em seu parágrafo primeiro, declara:

""A responsabilidade na gestão fiscal pressupõe a ação planejada e transparente, em que se previnem riscos e corrigem desvios capazes de afetar o equilíbrio das contas públicas, mediante o cumprimento de metas de resultados entre receitas e despesas e a __obediência a limites__ e condições no que tange a renúncia de receita, geração de despesas com pessoal, da seguridade social e outras, dívidas consolidada e mobiliária, operações de crédito, inclusive por antecipação de receita, concessão de garantia e inscrição em Restos a Pagar.""

Este conjunto de dados demonstra o cumprimento, por parte da União (no caso das Despesas com Pessoal, apenas para o Poder Executivo), dos limites estabelecidos pela LRF, a saber:

* despesa total com pessoal;
* dívida consolidada;
* concessão de garantias e contragarantias; e
* operações de crédito.

O cumprimento desses limites são demonstrados por meio do Relatório de Gestão Fiscal, um dos _instrumentos de transparência da gestão fiscal_ criados pela LRF. Esse relatório é emitido quadrimestralmente pelos titulares dos Poderes e dos órgãos referidos no art. 20 da Lei.

Os relatórios do Poder Executivo Federal (em PDF) podem ser acessados na página:
http://www.tesouro.gov.br/web/stn/-/relatorio-de-gestao-fiscal

As saídas de dados disponibilizadas aqui representam os principais valores apurados especificamente para a verificação dos limites mencionados acima. Assim, deve-se ter em mente que as informações deste conjunto de dados seguem metodologia própria, definida de acordo com os critérios estabelecidos pela LRF, pelo [Manual de Demonstrativos Fiscais](https://www.tesouro.fazenda.gov.br/-/mdf) e eventuais recomendações e determinações do Tribunal de Contas da União, que realiza a verificação do cumprimento desses limites a cada quadrimestre. Dessa forma, podem eventualmente existir divergências entre esses valores e outros divulgados neste portal no âmbito de outros conjuntos de dados, com nomes semelhantes.

[![Séries Temporais](http://www.tesourotransparente.gov.br/home/@@nitf/cac58e75530448e19b206f4cb1b1f240/@@images/9ff08e36-7376-4f58-884d-365f90994355.jpeg)](http://www.tesourotransparente.gov.br/visualizacoes/series-temporais)";"Contabilidade Pública,Execução Orçamentária,Lei de Responsabilidade Fiscal,Lei de Responsabilidade Fiscal - União,Responsabilidade Fiscal da União";"3";"0";"3";"0"
"Ministério da Fazenda";"Limites da LRF para a União: Despesas com Pessoal do Poder Executivo Federal";"Série histórica quadrimestrais dos valores referentes aos limites da LRF para Despesa com Pessoal do Poder Executivo Federal.

O artigo de abertura da Lei de Responsabilidade Fiscal, em seu parágrafo primeiro, declara:

""A responsabilidade na gestão fiscal pressupõe a ação planejada e transparente, em que se previnem riscos e corrigem desvios capazes de afetar o equilíbrio das contas públicas, mediante o cumprimento de metas de resultados entre receitas e despesas e a obediência a limites e condições no que tange a renúncia de receita, geração de despesas com pessoal, da seguridade social e outras, dívidas consolidada e mobiliária, operações de crédito, inclusive por antecipação de receita, concessão de garantia e inscrição em Restos a Pagar.""

Este conjunto de dados demonstra o cumprimento, por parte da União (no caso das Despesas com Pessoal, apenas para o Poder Executivo), dos limites estabelecidos pela LRF, a saber:

despesa total com pessoal;
dívida consolidada;
concessão de garantias e contragarantias; e
operações de crédito.
O cumprimento desses limites são demonstrados por meio do Relatório de Gestão Fiscal, um dos instrumentos de transparência da gestão fiscal criados pela LRF. Esse relatório é emitido quadrimestralmente pelos titulares dos Poderes e dos órgãos referidos no art. 20 da Lei.

Os relatórios do Poder Executivo Federal (em PDF) podem ser acessados na página: http://www.tesouro.gov.br/web/stn/-/relatorio-de-gestao-fiscal

As saídas de dados disponibilizadas aqui representam os principais valores apurados especificamente para a verificação dos limites mencionados acima. Assim, deve-se ter em mente que as informações deste conjunto de dados seguem metodologia própria, definida de acordo com os critérios estabelecidos pela LRF, pelo Manual de Demonstrativos Fiscais e eventuais recomendações e determinações do Tribunal de Contas da União, que realiza a verificação do cumprimento desses limites a cada quadrimestre. Dessa forma, podem eventualmente existir divergências entre esses valores e outros divulgados neste portal no âmbito de outros conjuntos de dados, com nomes semelhantes.";"Contabilidade Pública,Execução Orçamentária,Lei de Responsabilidade Fiscal,Responsabilidade Fiscal da União";"2";"0";"13";"0"
"Ministério da Fazenda";"Limites da LRF para a União: Dívida Consolidada Líquida da União";"Séries históricas quadrimestrais dos valores referentes aos limites da LRF para  Dívida Consolidada Líquida da União. 

O artigo de abertura da Lei de Responsabilidade Fiscal, em seu parágrafo primeiro, declara: 

""A responsabilidade na gestão fiscal pressupõe a ação planejada e transparente, em que se previnem riscos e corrigem desvios capazes de afetar o equilíbrio das contas públicas, mediante o cumprimento de metas de resultados entre receitas e despesas e a obediência a limites e condições no que tange a renúncia de receita, geração de despesas com pessoal, da seguridade social e outras, dívidas consolidada e mobiliária, operações de crédito, inclusive por antecipação de receita, concessão de garantia e inscrição em Restos a Pagar."" 

Este conjunto de dados demonstra o cumprimento, por parte da União (no caso das Despesas com Pessoal, apenas para o Poder Executivo), dos limites estabelecidos pela LRF, a saber: 
• despesa total com pessoal; 
• dívida consolidada; 
• concessão de garantias e contragarantias; e 
• operações de crédito. 

O cumprimento desses limites são demonstrados por meio do Relatório de Gestão Fiscal, um dos instrumentos de transparência da gestão fiscal criados pela LRF. Esse relatório é emitido quadrimestralmente pelos titulares dos Poderes e dos órgãos referidos no art. 20 da Lei. 

Os relatórios do Poder Executivo Federal (em PDF) podem ser acessados na página: http://www.tesouro.gov.br/web/stn/-/relatorio-de-gestao-fiscal 

As saídas de dados disponibilizadas aqui representam os principais valores apurados especificamente para a verificação dos limites mencionados acima. Assim, deve-se ter em mente que as informações deste conjunto de dados seguem metodologia própria, definida de acordo com os critérios estabelecidos pela LRF, pelo Manual de Demonstrativos Fiscais e eventuais recomendações e determinações do Tribunal de Contas da União, que realiza a verificação do cumprimento desses limites a cada quadrimestre. Dessa forma, podem eventualmente existir divergências entre esses valores e outros divulgados neste portal no âmbito de outros conjuntos de dados, com nomes semelhantes.";"Contabilidade Pública,Execução Orçamentária,Lei de Responsabilidade Fiscal,Responsabilidade Fiscal da União";"2";"0";"7";"0"
"Ministério da Fazenda";"Limites da LRF para a União: Garantias Concedidas";"Séries históricas quadrimestrais dos valores referentes aos limites da LRF para  Concessão de Garantias.

O artigo de abertura da Lei de Responsabilidade Fiscal, em seu parágrafo primeiro, declara: 

""A responsabilidade na gestão fiscal pressupõe a ação planejada e transparente, em que se previnem riscos e corrigem desvios capazes de afetar o equilíbrio das contas públicas, mediante o cumprimento de metas de resultados entre receitas e despesas e a obediência a limites e condições no que tange a renúncia de receita, geração de despesas com pessoal, da seguridade social e outras, dívidas consolidada e mobiliária, operações de crédito, inclusive por antecipação de receita, concessão de garantia e inscrição em Restos a Pagar."" 

Este conjunto de dados demonstra o cumprimento, por parte da União (no caso das Despesas com Pessoal, apenas para o Poder Executivo), dos limites estabelecidos pela LRF, a saber: 
• despesa total com pessoal; 
• dívida consolidada; 
• concessão de garantias e contragarantias; e 
• operações de crédito. 

O cumprimento desses limites são demonstrados por meio do Relatório de Gestão Fiscal, um dos instrumentos de transparência da gestão fiscal criados pela LRF. Esse relatório é emitido quadrimestralmente pelos titulares dos Poderes e dos órgãos referidos no art. 20 da Lei. 

Os relatórios do Poder Executivo Federal (em PDF) podem ser acessados na página: http://www.tesouro.gov.br/web/stn/-/relatorio-de-gestao-fiscal 

As saídas de dados disponibilizadas aqui representam os principais valores apurados especificamente para a verificação dos limites mencionados acima. Assim, deve-se ter em mente que as informações deste conjunto de dados seguem metodologia própria, definida de acordo com os critérios estabelecidos pela LRF, pelo Manual de Demonstrativos Fiscais e eventuais recomendações e determinações do Tribunal de Contas da União, que realiza a verificação do cumprimento desses limites a cada quadrimestre. Dessa forma, podem eventualmente existir divergências entre esses valores e outros divulgados neste portal no âmbito de outros conjuntos de dados, com nomes semelhantes. ";"Contabilidade Pública,Execução Orçamentária,Lei de responsabilidade fiscal,Responsabilidade Fiscal da União";"2";"0";"5";"0"
"Ministério da Fazenda";"Lista de municípios do SIAFI";"Lista de municípios do SIAFI com código SIAFI e código IBGE";"MUNICÍPIOS,SIAFI";"1";"0";"141";"0"
"Ministério da Fazenda";"Lista de Órgãos do SIAFI";"Listagem dos órgãos cadastrados no sistema SIAFI - Sistema de Administração Orçamentária e Financeira, contendo código, descrição e alguns outros campos.";"Lista de Órgãos do Siafi";"39";"0";"177";"1"
"Ministério da Fazenda";"Movimentação e Tempos de Despachos Aduaneiros";"Tempo Médio de Importação; 2. Quantidade de DI e DU-E a partir de 2021; 3. Quantidade de DI e DE até 2020.";"Exportação,Importação,Receita Federal";"15";"0";"2540";"8"
"Ministério da Fazenda";"Operações de crédito a contratar de estados e municípios";"No âmbito da verificação de limites e condições para contratação de operações de crédito e garantias por governos regionais (ver Manual para Instrução de Pleitos, disponível em https://tesourotransparente.gov.br/mip), os governos regionais submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora dados sobre pedidos de verificação de limites e condições (PVLs) em tramitação ou PVLs deferidos que ainda não resultaram na contratação de operação de crédito ou garantia.";"Estados e Municípios,LRF,PVL,operações de crédito";"2";"0";"34";"0"
"Ministério da Fazenda";"Operações do Tesouro Direto";"Este conjunto de dados contém listagem das operações realizadas no programa Tesouro Direto com detalhamento de título e valor operado. As operações consideram o ponto de vista do Tesouro Nacional, enquanto emissor dos títulos, e são classificadas em Venda, Compra, Retirada ou Depósito.";"Investidores,Investimento,Tesouro Direto,Tesouro IGPM,Tesouro IPCA,Tesouro IPCA com Juros Semestrais,Tesouro Prefixado,Tesouro Prefixado com Juros Semestrais,Tesouro Selic";"3";"0";"343";"1"
"Ministério da Fazenda";"PER/DCOMP - Créditos Judiciais";"Apresenta os dados gerenciais relativos aos créditos oriundos de ações judiciais informados em PER/DCOMP (Pedidos de Restituição, Ressarcimento ou Reembolso ou Declarações de Compensação), recebidos pela Secretaria Especial da Receita Federal (RFB), excluindo-se os documentos que foram cancelados por pedido de cancelamento ou retificação. 
Em se tratando dos créditos, são considerados apenas os documentos com demonstrativo de crédito (primeiro PER/DCOMP transmitido para determinado crédito, o qual deve indicar a totalidade do crédito). Cada linha representa uma ação judicial diferente.
Em se tratando dos débitos, trata-se daqueles compensados com créditos oriundos de ações judiciais, informados em PER/DCOMP, recebidos pela RFB, excluindo-se os documentos que foram cancelados por pedido de cancelamento ou retificação.";"Créditos Judiciais,Declaração de Compensação,PERDCOMP,Pedido de Reembolso,Pedido de Ressarcimento,Pedido de Restituição";"5";"0";"517";"2"
"Ministério da Fazenda";"PER/DCOMP - Créditos NÃO Judiciais";"Apresenta os dados gerenciais relativos aos créditos NÃO oriundos de ações judiciais, informados em PER/DCOMP (Pedidos de Restituição, Ressarcimento ou Reembolso ou Declarações de Compensação), recebidos pela Secretaria Especial da Receita Federal (RFB), excluindo-se os documentos que foram cancelados por pedido de cancelamento ou retificação. 
Em se tratando dos créditos, são considerados apenas os documentos com demonstrativo de crédito (primeiro PER/DCOMP transmitido para determinado crédito, o qual deve indicar a totalidade do crédito).
Em se tratando dos débitos, são considerados aqueles compensados com créditos NÃO oriundos de ações judiciais, informados em PER/DCOMP (Pedidos de Restituição, Ressarcimento ou Reembolso ou Declarações de Compensação), recebidos pela RFB, excluindo-se os documentos que foram cancelados por pedido de cancelamento ou retificação.";"Créditos Não Judiciais,Declaração de Compensação,Débitos Não Judiciais,PERDCOMP,Pedido de Reembolso,Pedido de Ressarcimento,Pedido de Restituição";"7";"0";"583";"3"
