"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Ministério da Fazenda";"Condições Financeiras dos Haveres da União em Programas de Estados, Municípios e Demais Mutuários Relacionados";"Este conjunto de dados contém as informações sobre os Programas ativos sob o controle da COAFI, relativos a Estados, Municípios e demais mutuários relacionados, juntamente com as condições financeiras dos contratos; e o histórico dos Programas encerrados, acompanhados, em alguns casos, dos respectivos relatórios de encerramento. Trata-se de informações meramente descritivas. Não há tabelas ou planilhas.
  
**Definições**  
  
__Haveres Financeiros relativos a Estados e Municípios__: São os haveres financeiros da União cujos devedores são os Estados e Municípios e demais mutuários relacionados. 
  
__Programa__: Está relacionado a um determinado tipo de empréstimo, financiamento ou refinanciamento, cujo credor é a União e os devedores são os Estados, os municípios e demais mutuários relacionados. Cada programa, via de regra, está calcado ou foi estabelecido em consonância com uma Lei, Medida Provisória ou outra norma autorizativa.
  
__Contrato__: É o instrumento jurídico que estabelece entre as partes (União, Estados, Municípios, demais mutuários relacionados, agente financeiro, bancos depositários e demais intervenientes) as condições gerais do empréstimo, financiamento ou refinanciamento, tais como taxas de juros, formas de amortização, garantias contratuais, periodicidade de pagamento, dentre outras avenças. Cada contrato está associado, via de regra, a um mutuário específico.
  
__Mutuário__: Trata-se de um ente da federação ou outro mutuário relacionado que possui uma obrigação financeira junto à União.
";"Dívidas,Empréstimos,Estados e Municípios,Financiamentos,Finanças,Haveres Federais,Haveres Financeiros,Refinanciamentos";"2";"0";"18";"0"
"Ministério da Fazenda";"Contencioso Administrativo de Primeira Instância e de Segunda Instância na RFB";"A base Contencioso Administrativo é o banco de dados que armazena informações relativas aos principais indicadores do contencioso administrativo fiscal de 1ª instância e de 2ª instância no âmbito da Secretaria Especial da Receita Federal do Brasil (RFB). Estes indicadores permitem que os gestores e a sociedade tenham uma visão geral do acervo de processos administrativos fiscais (quantidade e valor total dos processos), bem como do tempo médio (em dias) de tramitação no contencioso administrativo da RFB (de todos os processos do acervo, dos processos prioritários e por tipo de prioridade) e da produção (quantidade, hora estimada de julgamento e valor dos processos julgados, entre lançamentos de créditos tributários e pedidos de ressarcimento, restituição, reembolso e compensação) das Delegacias de Julgamento da Receita Federal do Brasil - DRJ e da Delegacia de Julgamento Recursal da Receita Federal do Brasil – DRJ-R.";"Acervo de processos,Contencioso Administrativo de 1ª instância,Contencioso Administrativo de 2ª instância,Contencioso Administrativo na RFB,DRJ,DRJ-R,Indicadores,Julgamento,Processos julgados,Processos prioritários,Produção da DRJ-R,Produção das DRJ,Quantidade de processos no acervo,RFB,Tempo Médio,Temporalidade,Valor total dos processos no acervo";"6";"0";"1873";"15"
"Ministério da Fazenda";"Contratos Dívida";"";"";"76";"0";"254";"0"
"Ministério da Fazenda";"Contratos Para Financiamentos de Projetos, Aquisição de Bens ou Serviços";"Conjunto de dados contendo as informações das operações de crédito externo contratados pela União, relacionados a financiamento de projetos e aquisição de bens ou serviços (CONTRATAÇÃO DIRETA).";"Acordo,Aquisição de Bens,Contratação Direta,Contratos,Credor,Dívida Pública Federal,Empréstimos Externos,Financiador,Financiamento de Projetos,Mutuário,Operações de Crédito,Programa,Projeto,Serviços";"3";"0";"51";"0"
"Ministério da Fazenda";"Convênios com a Receita Federal";"<p>Convênios celebrados entre a Secretaria Especial da Receita Federal do Brasil (RFB) e Estados, Distrito Federal e Municípios.</p>
";"Convênios,ITR,RFB,receita federal";"2";"0";"760";"6"
"Ministério da Fazenda";"Cronogramas de desembolso de operações de crédito contratadas por estados e municípios";"No âmbito da verificação de limites e condições para contratação de operações de crédito e garantias por governos regionais (ver Manual para Instrução de Pleitos, disponível em https://tesourotransparente.gov.br/mip), os governos regionais submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora um cronograma projetado de desembolsos (liberações) de operações de crédito contratadas.";"Estados e Municípios,LRF,PVL,operações de crédito";"2";"0";"17";"0"
"Ministério da Fazenda";"Cronogramas de pagamento de operações de crédito contratadas e a contratar por estados e municípios";"No âmbito da verificação de limites e condições para contratação de operações de crédito e garantias por governos regionais (ver Manual para Instrução de Pleitos, disponível em https://tesourotransparente.gov.br/mip), os governos regionais submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora um cronograma projetado de pagamentos de sua dívida consolidada (DC), das operações contratadas que ainda não compõe a DC e das operações a contratar.";"Estados e Municípios,LRF,PVL,operações de crédito";"2";"0";"9";"0"
"Ministério da Fazenda";"Cronogramas de pagamento de operações de crédito contratadas por estados e municípios";"No âmbito da verificação de limites e condições para contratação de operações de crédito e garantias por governos regionais (ver Manual para Instrução de Pleitos, disponível em https://tesourotransparente.gov.br/mip), os governos regionais submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora um cronograma projetado de pagamentos de sua dívida consolidada (DC) e das operações contratadas que ainda não compõe a DC.";"Estados e Municípios,LRF,PVL,operações de crédito";"2";"0";"10";"0"
"Ministério da Fazenda";"Créditos Ativos";"Conjunto de informações sobre créditos tributários ativos administrados pela Secretaria Especial da Receita Federal do Brasil (RFB). Os dados estão em formato aberto (.CSV) e representam o saldo atualizado do crédito tributário no final do mês de referência indicado no arquivo. Salienta-se que a base de créditos ativos não inclui os créditos tributários enviados para inscrição em Dívida Ativa da União (DAU), administrada pela Procuradoria-Geral da Fazenda Nacional (PGFN).";"RFB,crédito tributário,créditos ativos,devedores,dívida administrativa,receita federal";"4";"0";"5869";"15"
"Ministério da Fazenda";"Cumprimento de Metas do PAF";"Este conjunto de dados contém as metas definidas no Programa de Reestruturação e de Ajuste Fiscal (PAF) e a avaliação pelo Tesouro Nacional do cumprimento ou não das metas pelos Estados e pelo Distrito Federal.";"Ajuste Fiscal de Estados DF e Municípios,Ajuste Fiscal de Estados e Municipios,Estados e Municipios,Estados e Municípios";"2";"0";"6";"0"
"Ministério da Fazenda";"Custos com Depreciação do Governo Federal";"Este conjunto de dados contém os Custos com Depreciação do Governo Federal detalhados por Conta Contábil.";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Depreciação,Finanças Públicas,Gestão de Custos";"3";"0";"51";"0"
"Ministério da Fazenda";"Custos com Pensionistas do Governo Federal";"Este conjunto de dados contém os Custos com Pensionistas do Governo Federal";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Finanças Públicas,Gestão de Custos,Pensionistas";"2";"0";"109";"1"
"Ministério da Fazenda";"Custos com Pessoal Ativo do Governo Federal";"Este conjunto de dados contém a Força de Trabalho e os Custos com Pessoal Ativo do Governo Federal, detalhados por Unidade Organizacional,  Área de Atuação, Escolaridade, Sexo e Faixa Etária.";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Custos de Pessoal,Finanças Públicas,Gestão de Custos,Pessoal Ativo da União";"2";"0";"168";"1"
"Ministério da Fazenda";"Custos com Pessoal Inativo do Governo Federal";"Este conjunto de dados contém os Custos com Pessoal Inativo (aposentados) do Governo Federal	
";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Custos de Aposentados,Custos de Pessoal Inativo,Finanças Públicas,Gestão de Custos";"2";"0";"68";"0"
